org_id,ds,ingested_gb
org_acme,2026-07-20,40.0
org_acme,2026-07-21,40.7
org_acme,2026-07-22,41.4
org_acme,2026-07-23,42.1
org_acme,2026-07-24,42.8
org_acme,2026-07-25,43.5
org_acme,2026-07-26,44.2
org_acme,2026-07-27,44.9
org_globex,2026-07-20,12.0
org_globex,2026-07-21,12.7
org_globex,2026-07-22,13.4
org_globex,2026-07-23,14.1
org_globex,2026-07-24,14.8
org_globex,2026-07-25,15.5
org_globex,2026-07-26,16.2
org_globex,2026-07-27,16.9
org_initech,2026-07-20,3.0
org_initech,2026-07-21,3.7
org_initech,2026-07-22,4.4
org_initech,2026-07-23,5.1
org_initech,2026-07-24,5.8
org_initech,2026-07-25,6.5
org_initech,2026-07-26,7.2
org_initech,2026-07-27,7.9
org_umbrella,2026-07-20,1.5
org_umbrella,2026-07-21,2.2
org_umbrella,2026-07-22,2.9
org_umbrella,2026-07-23,3.6
org_umbrella,2026-07-24,4.3
org_umbrella,2026-07-25,5.0
org_umbrella,2026-07-26,5.7
org_umbrella,2026-07-27,6.4
